Rank,Fragment SMILES,Score
260,*c1ccc(C(=O)C2CC2)cn1,0.5297021269798279
261,*c1cccc(C(=O)O)c1C,0.5295609831809998
262,*c1nc(=O)c2cnccc2[nH]1,0.5292167067527771
263,*c1ccc2[nH]c(=O)[nH]c2c1,0.529140830039978
264,*c1ccc(C(C)(C)C)cc1,0.5288305878639221
265,*c1cc(C#N)cc(CNC)c1,0.5285582542419434
266,*c1cc(O)cc(F)c1,0.5285561680793762
267,*c1cccc(C(C)=O)c1,0.5285314917564392
268,*Cn1cnc2c(=O)[nH]cnc21,0.5285083651542664
269,*c1c(F)cc(C)cc1F,0.5281915068626404
270,*c1ccc(CN(C)C)cc1,0.5281038880348206
271,*c1ccc(F)c(O)c1,0.5280113816261292
272,*C(=O)c1ccc2cccn2c1,0.5279956459999084
273,*c1cccc(C(=O)O)c1,0.5279374122619629
274,*c1cccc(C(N)CO)c1,0.5276663899421692
275,*c1cccc(OC)c1,0.527621328830719
276,*c1ccc(C(=O)NC)cc1,0.527384877204895
277,*c1ccc(F)c(Cl)c1,0.5272805690765381
278,*c1cccc(C(C)(F)F)c1,0.5268343091011047
279,*N1CNc2c1[nH]cnc2=N,0.52680903673172
280,*CCc1ccc2cc[nH]c2n1,0.5262815356254578
281,*C1Cn2ccc(=O)nc2O1,0.526107668876648
282,*c1ccc(C(=O)O)c(C)c1,0.5259605050086975
283,*c1ccc(Cl)c(F)c1,0.525805652141571
284,*c1cccc2cccnc12,0.5257400870323181
285,*c1cccc(C(F)(F)F)c1,0.525672972202301
286,*C=C1C(=O)Cc2ccccc21,0.5255786776542664
287,*c1ccc2ncccc2c1,0.5254564881324768
288,*c1cccc2c1OCCO2,0.5254409909248352
289,*N=c1[nH]n(C)c2ccccc12,0.5254049301147461
290,*c1cccc(N)c1C,0.5249682068824768
291,*Nc1ccc2[nH]c(O)cc2c1,0.52488774061203
292,*n1ccc2c(=N)[nH]cnc21,0.5248721241950989
293,*c1cccc(CCN(C)C)c1,0.5248503088951111
294,*c1ccc(C(O)CO)cc1,0.5247308611869812
295,*c1ccc(C)c(C(=O)O)c1,0.5247037410736084
296,*c1ccc(CC(N)=O)cc1,0.5246163606643677
297,*c1c(C)cc(C)cc1C,0.5245048999786377
298,*c1cc(C)c(C#N)c(CC)c1,0.5244015455245972
299,*c1cccc(C(=O)N(C)C)c1,0.5243045091629028
300,*c1c[n+]2c(c([O-])n1)=CCC=2,0.524283766746521
301,*Cc1nc2cc(C)ccc2[nH]1,0.5241963863372803
302,*c1ccc(N)cc1C,0.5241697430610657
303,*Cc1ccnc2ccccc12,0.5240293145179749
304,*c1ccccc1CNC,0.5239807367324829
305,*c1cc(F)cc(Cl)c1,0.5239712595939636
306,*c1cccc(C(=O)NC)c1,0.5239700078964233
307,*C(=O)c1ccc2[nH]nnc2c1,0.5236823558807373
308,*c1cc(O)cc(O)c1,0.5236786007881165
309,*c1nc2ccc(C)nc2[nH]1,0.523608922958374
310,*c1ccc(N)cc1,0.5235481858253479
311,*c1cc(Cl)ccc1OC,0.5235132575035095
312,*c1cc(F)ccc1O,0.5234954357147217
313,*c1ccnc2ccccc12,0.5227800607681274
314,*c1ccc(O)c(F)c1,0.5226905941963196
315,*c1ccccc1C(=O)OCC,0.5226720571517944
316,*c1n[nH]c(=O)c2ccccc12,0.522544264793396
317,*c1cc(OC)ccc1F,0.522514283657074
318,*c1ccccc1C(N)=O,0.522462785243988
319,*c1cccc(CN(C)C)c1,0.5223289728164673
320,*C1C2COC3OCC1C3C2,0.5222514867782593
321,*NC1Cc2ccccc2C1O,0.5220475196838379
322,*c1nc(=O)c2ccccc2[nH]1,0.5219044089317322
323,*c1ccc(C(=O)N(C)C)cc1,0.5218191742897034
324,*c1ccccc1CC(=O)O,0.5218125581741333
325,*c1cncc(C(=O)N(C)C)c1,0.5217605829238892
326,*Cn1c(O)cc2ccccc21,0.5215939283370972
327,*CN1Cc2ccccc2C1=O,0.5215651988983154
328,*N1CCCc2ccccc21,0.5214845538139343
329,*c1cc(Cl)cc(OC)c1,0.5214151740074158
330,*c1ccccc1C(=O)N(C)C,0.5213271379470825
331,*c1cc(OC)ccc1Cl,0.521325945854187
332,*c1ccc2oc(C)cc2c1,0.5213171243667603
333,*c1c(N)cccc1C(=O)O,0.5209205746650696
334,*CN=c1[nH]c2cccnc2[nH]1,0.5208767652511597
335,*c1nc2cc(C#N)ccc2[nH]1,0.5208269953727722
336,*c1ccc(Cl)cc1O,0.5208022594451904
337,*c1ccc(OC)c(Cl)c1,0.5207677483558655
338,*c1cc(C)ccc1C(C)=O,0.5207364559173584
339,*c1cccc2ncccc12,0.5206582546234131
340,*c1cc2cc(C)ccc2[nH]1,0.520359218120575
341,*c1ccc2c(c1)CCCC2,0.5199312567710876
342,*c1cccc(O)c1F,0.5198680758476257
343,*NC1c2ccccc2CC1N,0.51969313621521
344,*c1cccc2c[nH]nc12,0.5196715593338013
345,*c1ccc2c(c1)nnn2C,0.5196610689163208
346,*c1ccc(O)c(Cl)c1,0.5194758772850037
347,*c1ccc2c(c1)OCCO2,0.5194034576416016
348,*c1ccccc1C(=O)O,0.5193195343017578
349,*c1ccc2cccnc2c1,0.5191691517829895
350,*C(=O)c1cccc(OC)c1C,0.5189989805221558
351,*CCc1cc2ccccc2[nH]1,0.5189722776412964
352,*c1ccc(OCC)cc1,0.5189008712768555
353,*c1cccc(OCC)c1,0.5186803340911865
354,*c1cccc(CCC(=O)O)c1,0.5185083746910095
355,*CC1NCCc2ccccc21,0.518409788608551
356,*c1ccccc1C(=O)NC,0.518216609954834
357,*C=C1c2ccccc2CC1O,0.5181140899658203
358,*c1cccc(C(=N)N)c1,0.5181127786636353
359,*c1cc(Cl)ccc1F,0.5180855989456177
360,*c1ccc(C#N)c(C)c1,0.5180416107177734
361,*c1ccccc1CCC(=O)O,0.517896294593811
362,*Cc1cnc2ccccc2c1,0.5177553296089172
363,*c1ccc(C=NO)cc1,0.5177523493766785
364,*c1cc(C)ccc1CCCO,0.5177195072174072
365,*c1cccc([N+](=O)[O-])c1C,0.5175800919532776
366,*c1cc(C)c(=O)n(CC)c1,0.5175731182098389
367,*c1cccc2[nH]ccc12,0.5172088146209717
368,*c1ccc(CC(C)C)cc1,0.5170996189117432
369,*c1cc(F)cc(F)c1,0.5170843005180359
370,*c1ccc(C(=O)OC)cc1,0.5170648694038391
371,*c1cccc(CNC(N)=O)c1,0.5169898271560669
372,*c1ccc(CO)c(CO)c1,0.516942024230957
373,*c1ccc(C)c2ccccc12,0.5167780518531799
374,*c1ccc(O)cc1F,0.5166634917259216
375,*c1ccc(O)cc1Cl,0.5166574120521545
376,*C1CCc2c[nH]c(=N)n2C1,0.5165985226631165
377,*c1cccc2[nH]cnc12,0.5165472626686096
378,*c1ccc(CC(=O)O)cc1,0.516538143157959
379,*c1c(C)nc2ccccn12,0.5165195465087891
380,*c1ccccc1OC,0.5164615511894226
381,*c1cc(C)ccc1C(=O)O,0.5164181590080261
382,*c1ccccc1C(F)(F)F,0.5163637399673462
383,*c1cccc2cc[nH]c12,0.5163059234619141
384,*c1cccc(C2CC2)c1,0.5161808133125305
385,*c1ccc(F)c(O)c1O,0.516129732131958
386,*c1ccc2[nH]ccc2c1,0.5158430337905884
387,*c1cccc(C=CC(=O)O)c1,0.5156409740447998
388,*c1ccc(CCCCC)cc1,0.5155684947967529
389,*c1cccc2cnccc12,0.5155097246170044
390,*Cc1[nH]nc2ncccc12,0.5154542326927185
391,*c1ccc(C)cc1C(=O)O,0.515430212020874
392,*Cc1ccc2nccnc2c1,0.5153021812438965
393,*c1ccc(OC)c(F)c1,0.5151835083961487
394,*Cc1ccc2ncccc2c1,0.514602780342102
395,*c1ccc(C(F)(F)F)cc1,0.514126718044281
396,*c1c(C#N)cccc1C#N,0.5141109824180603
397,*n1cnc2cc(C)ccc21,0.51406329870224
398,*c1ccc(CCC(=O)O)cc1,0.5139575004577637
399,*c1ccc(F)cc1Cl,0.5138750672340393
400,*c1cc2cc(F)ccc2[nH]1,0.5138390064239502
401,*c1ccc(Cl)cc1F,0.513484537601471
402,*c1cnc2ccccc2c1,0.5132206678390503
403,*c1cc(Cl)c(O)cc1O,0.5130409002304077
404,*C(=O)C1CC1c1cccnc1,0.5130123496055603
405,*c1c(C)cccc1C(=O)O,0.5128467679023743
406,*c1c[nH]nc1-c1cccnc1,0.5127116441726685
407,*c1ccccc1CN(C)C,0.5126785635948181
408,*c1ccc(OCCCC)cc1,0.5126588344573975
409,*c1ccc2cc[nH]c2c1,0.5125061869621277
